,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_sec,time_signature,gender
0,Butter,BTS,0.759,0.459,8,-5.187,1,0.09480000000000001,0.0032300000000000002,0.6950000000000001,109.997,164.442,4,male
1,The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0729,0.08990000000000001,0.922,120.044,198.053,4,female
2,Savage,aespa,0.727,0.879,9,-1.167,1,0.129,0.124,0.671,146.959,238.144,4,female
3,Permission to Dance,BTS,0.7020000000000001,0.741,9,-5.33,1,0.0427,0.00544,0.646,124.925,187.585,4,male
4,In the morning,ITZY,0.846,0.8140000000000001,6,-4.6850000000000005,0,0.149,0.0823,0.722,140.055,172.373,4,female
5,Alcohol-Free,TWICE,0.6880000000000001,0.909,8,-1.992,1,0.062400000000000004,0.047400000000000005,0.7020000000000001,97.097,210.573,4,female
6,MONEY,LISA,0.8260000000000001,0.553,1,-10.121,0,0.234,0.163,0.4,140.037,168.228,4,female
7,ELEVEN,IVE,0.8280000000000001,0.731,9,-3.033,1,0.111,0.061700000000000005,0.587,119.978,178.453,4,female
8,Queendom,Red Velvet,0.6950000000000001,0.896,5,-1.24,1,0.0847,0.179,0.508,119.959,181.760,4,female
9,Celebrity,IU,0.73,0.784,9,-2.62,1,0.06910000000000001,0.191,0.673,99.995,195.547,4,female
10,Hot Sauce,NCT DREAM,0.769,0.926,6,-1.627,1,0.07880000000000001,0.012700000000000001,0.551,100.034,195.813,4,male
11,LILAC,IU,0.738,0.89,2,-2.275,0,0.0748,0.08950000000000001,0.75,114.942,214.253,4,female
12,On The Ground,ROSÉ,0.311,0.607,1,-6.578,1,0.11,0.017400000000000002,0.28600000000000003,188.7,168.086,4,female
13,Weekend,TAEYEON,0.74,0.854,8,-2.209,1,0.052500000000000005,0.07830000000000001,0.856,114.029,233.413,4,female
14,ASAP,STAYC,0.764,0.802,0,-4.217,1,0.0351,0.10200000000000001,0.323,132.02,194.080,4,female
15,DUMB DUMB,JEON SOMI,0.85,0.734,2,-6.415,1,0.049100000000000005,0.0221,0.406,103.027,149.214,4,female
16,After School,Weeekly,0.634,0.928,1,-1.609,1,0.0514,0.00719,0.738,164.007,205.373,4,female
17,Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.5,170.006,220.920,4,male
18,STEREOTYPE,STAYC,0.605,0.805,6,-3.212,1,0.0641,0.313,0.738,148.298,191.696,4,female
19,FEVER,ENHYPEN,0.6000000000000001,0.713,6,-5.079,0,0.0592,0.06420000000000001,0.47100000000000003,72.999,172.107,4,male
20,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,0.584,0.836,0,-4.925,1,0.079,0.0558,0.484,104.973,202.204,4,male
21,Ready to love,SEVENTEEN,0.668,0.705,9,-5.731,0,0.0356,0.0274,0.549,129.984,186.760,4,male
22,Dont Call Me,SHINee,0.6900000000000001,0.783,2,-2.076,1,0.0641,0.012700000000000001,0.306,82.026,220.173,4,male
23,SCIENTIST,TWICE,0.786,0.858,11,-3.74,1,0.0675,0.0487,0.649,112.999,194.600,4,female
24,Drunk-Dazed,ENHYPEN,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.453,132.889,193.260,4,male
25,LOCO,ITZY,0.759,0.886,1,-3.067,1,0.187,0.0103,0.489,102.065,191.462,4,female
26,LALISA,LISA,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.854,150.076,200.690,4,female
27,Dont fight the feeling,EXO,0.707,0.838,9,-2.983,0,0.117,0.0585,0.8320000000000001,128.007,176.547,4,male
28,Gone,ROSÉ,0.647,0.377,6,-6.003,1,0.0375,0.594,0.653,79.936,207.164,4,female
29,Rollin,Brave Girls,0.6910000000000001,0.875,1,-3.887,1,0.101,0.0356,0.489,124.954,197.711,4,female
30,O.O.O (Over&Over&Over),Girls Planet 999,0.643,0.963,7,-3.059,1,0.0965,0.005090000000000001,0.63,127.933,247.360,4,female
31,LO$ER=LO♡ER,TOMORROW X TOGETHER,0.644,0.867,11,-4.18,0,0.0383,0.001,0.687,124.997,199.919,4,male
32,Thunderous,Stray Kids,0.601,0.786,1,-3.706,1,0.234,0.213,0.79,172.156,183.267,4,male
33,Anti-Romantic,TOMORROW X TOGETHER,0.641,0.489,0,-8.668,0,0.11,0.0509,0.20600000000000002,142.977,215.188,4,male
34,Im Not Cool,HyunA,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.656,116.004,174.173,4,female
35,Life Is Still Going On,NCT DREAM,0.681,0.749,0,-3.436,0,0.07010000000000001,0.158,0.676,150.039,218.587,4,male
36,Rock with you,SEVENTEEN,0.621,0.8160000000000001,11,-5.242,1,0.10400000000000001,0.0966,0.6940000000000001,163.966,180.360,4,male
37,strawberry moon,IU,0.47500000000000003,0.712,6,-3.306,1,0.0431,0.138,0.443,169.796,205.333,4,female
38,Fireworks (Im The One),ATEEZ,0.724,0.904,0,-3.815,1,0.0872,0.0419,0.728,130.036,209.575,4,male
39,Bambi,BAEKHYUN,0.438,0.632,7,-4.447,0,0.0417,0.434,0.386,61.45,213.053,4,male
40,Advice,TAEMIN,0.659,0.8210000000000001,9,-2.215,0,0.0468,0.406,0.353,161.983,191.640,4,male
41,U+Me=LOVE,7 LOVE Minutes,0.772,0.852,2,-4.041,0,0.0618,0.047400000000000005,0.359,119.957,190.400,4,female
42,Sticker,NCT 127,0.527,0.769,2,-0.419,1,0.28,0.311,0.719,156.032,227.773,4,male
43,Snake,Medusa,0.766,0.854,2,-4.129,0,0.08020000000000001,0.0567,0.764,109.982,209.760,4,female
44,Dun Dun Dance,OH MY GIRL,0.647,0.9570000000000001,1,-0.384,0,0.0819,0.169,0.764,114.968,220.560,4,female
45,TAIL,SUNMI,0.515,0.858,9,-3.136,1,0.19,0.043500000000000004,0.428,125.07,190.960,4,female
46,Favorite (Vampire),NCT 127,0.561,0.758,5,-3.87,0,0.0478,0.0008309999999999999,0.178,149.944,215.587,4,male
47,NAKKA (with IU),"AKMU, IU",0.8160000000000001,0.636,10,-6.95,0,0.101,0.0732,0.499,100.923,212.807,4,multi
48,PING PONG,HyunA&DAWN,0.855,0.87,10,-2.059,0,0.0826,0.0122,0.863,103.028,158.253,4,multi
49,WOLFGANG,Stray Kids,0.524,0.848,2,-3.48,0,0.122,0.053500000000000006,0.135,161.672,190.865,4,male
